Indulas,Erkezes,Atszallas,Idotartam,Osszes Km
03:48 Zalaegerszeg,08:29 Budapest-Déli,2,4:41,294 km
04:35 Zalaegerszeg,09:39 Budapest-Déli,2,5:04,271 km
04:35 Zalaegerszeg,09:49 Budapest-Déli,5,5:14,252 km
04:45 Zalaegerszeg,08:28 Budapest-Keleti,1,3:43,301 km
04:45 Zalaegerszeg,10:39 Budapest-Déli,3,5:54,292 km
05:49 Zalaegerszeg,08:59 Budapest-Déli, ,3:10,239 km
05:49 Zalaegerszeg,08:59 Budapest-Déli, ,3:10,239 km
06:40 Zalaegerszeg,12:39 Budapest-Déli,2,5:59,271 km
07:43 Zalaegerszeg,14:39 Budapest-Déli,4,6:56,306 km
07:49 Zalaegerszeg,10:59 Budapest-Déli, ,3:10,239 km
07:49 Zalaegerszeg,10:59 Budapest-Déli, ,3:10,239 km
09:49 Zalaegerszeg,12:59 Budapest-Déli, ,3:10,239 km
09:49 Zalaegerszeg,12:59 Budapest-Déli, ,3:10,239 km
10:40 Zalaegerszeg,16:39 Budapest-Déli,2,5:59,271 km
11:49 Zalaegerszeg,14:59 Budapest-Déli, ,3:10,239 km
11:49 Zalaegerszeg,14:59 Budapest-Déli, ,3:10,239 km
12:40 Zalaegerszeg,18:39 Budapest-Déli,2,5:59,271 km
13:49 Zalaegerszeg,16:59 Budapest-Déli, ,3:10,239 km
13:49 Zalaegerszeg,16:59 Budapest-Déli, ,3:10,239 km
14:40 Zalaegerszeg,20:39 Budapest-Déli,2,5:59,271 km
14:46 Zalaegerszeg,21:39 Budapest-Déli,4,6:53,306 km
15:49 Zalaegerszeg,18:59 Budapest-Déli, ,3:10,239 km
15:49 Zalaegerszeg,18:59 Budapest-Déli, ,3:10,239 km
16:40 Zalaegerszeg,22:39 Budapest-Déli,2,5:59,271 km
16:53 Zalaegerszeg,23:54 Budapest-Déli,2,7:01,283 km
17:49 Zalaegerszeg,20:59 Budapest-Déli, ,3:10,239 km
17:49 Zalaegerszeg,20:59 Budapest-Déli, ,3:10,239 km
18:40 Zalaegerszeg,23:54 Budapest-Déli,3,5:14,259 km
20:40 Zalaegerszeg,05:39 Budapest-Déli,2,8:59,271 km
21:50 Zalaegerszeg,07:24 Budapest-Keleti,4,9:34,301 km
