Indulas,Erkezes,Atszallas,Idotartam,Osszes Km
04:50 Szombathely,06:49 Veszprém,,1:59,124 km
05:09 Szombathely,07:30 Veszprém,1,2:21,167 km
05:12 Szombathely,09:19 Veszprém,2,4:07,182 km
06:20 Szombathely,13:18 Veszprém,2,6:58,182 km
06:27 Szombathely,08:26 Veszprém,,1:59,124 km
07:02 Szombathely,09:30 Veszprém,1,2:28,167 km
07:40 Szombathely,13:18 Veszprém,2,5:38,196 km
08:42 Szombathely,10:26 Veszprém,,1:44,124 km
09:09 Szombathely,11:30 Veszprém,1,2:21,167 km
10:42 Szombathely,12:26 Veszprém,,1:44,124 km
11:09 Szombathely,13:30 Veszprém,1,2:21,167 km
11:40 Szombathely,14:14 Veszprém,,2:34,124 km
12:42 Szombathely,14:26 Veszprém,,1:44,124 km
13:07 Szombathely,15:30 Veszprém,1,2:23,167 km
13:40 Szombathely,16:14 Veszprém,1,2:34,124 km
14:37 Szombathely,19:16 Veszprém,2,4:39,182 km
14:42 Szombathely,16:26 Veszprém,,1:44,124 km
15:00 Szombathely,17:30 Veszprém,2,2:30,140 km
16:42 Szombathely,18:26 Veszprém,,1:44,124 km
17:07 Szombathely,19:30 Veszprém,1,2:23,167 km
17:40 Szombathely,20:14 Veszprém,1,2:34,124 km
18:42 Szombathely,20:26 Veszprém,,1:44,124 km
19:40 Szombathely,21:58 Veszprém,,2:18,124 km
22:34 Szombathely,06:00 Veszprém,1,7:26,124 km
